After running magCalSliders.py

bias = [280, -5, -120]
scale = [1.0, 1.0, 1.0]

MPU set up:
	Accelerometer: 0x0 16384.0
	Gyroscope: 0x0 131.0

MAG set up:
	Magnetometer: 0x16 1.499

Magnetometer calibration. Wave and rotate device in a figure eight until notified.

158,-48,90
158,-48,88
168,-60,88
165,-69,81
174,-74,72
170,-90,64
162,-94,54
160,-98,50
145,-105,49
153,-105,47
161,-103,49
165,-105,47
153,-103,63
152,-106,74
155,-95,71
145,-99,55
142,-96,34
129,-99,21
119,-97,-3
99,-99,-23
93,-97,-55
93,-103,-78
89,-105,-85
99,-113,-129
103,-105,-167
104,-106,-200
126,-88,-226
150,-86,-268
172,-86,-294
193,-69,-301
218,-72,-320
218,-81,-333
257,-81,-333
290,-82,-326
315,-85,-325
325,-89,-305
348,-84,-302
362,-88,-302
372,-86,-281
372,-84,-276
379,-83,-287
379,-83,-275
381,-91,-263
389,-89,-273
389,-89,-269
393,-89,-259
397,-91,-259
395,-97,-251
407,-91,-249
402,-78,-264
395,-81,-255
382,-74,-268
378,-70,-276
364,-62,-292
344,-66,-304
303,-71,-313
275,-57,-305
238,-52,-296
196,-50,-288
196,-50,-288
174,-48,-274
145,-51,-267
127,-55,-247
110,-52,-228
98,-48,-214
81,-61,-173
74,-60,-166
68,-60,-142
61,-57,-125
64,-44,-80
66,-44,-54
83,-61,-39
85,-49,-27
93,-33,1
104,-34,26
116,-28,46
115,-37,47
135,-46,58
147,-49,59
153,-55,61
163,-71,63
166,-88,54
165,-87,55
173,-99,59
176,-106,60
178,-114,60
172,-122,54
176,-112,62
177,-109,59
177,-101,49
167,-113,41
161,-115,51
146,-113,41
141,-109,29
138,-110,24
128,-114,4
112,-116,-16
118,-102,-18
89,-103,-47
94,-108,-80
92,-110,-114
94,-108,-122
110,-110,-160
114,-102,-196
125,-99,-215
165,-91,-259
187,-93,-287
192,-89,-311
250,-96,-320
288,-110,-320
309,-125,-313
346,-120,-308
364,-126,-284
373,-111,-275
402,-104,-268
406,-106,-248
409,-107,-255
410,-105,-249
421,-105,-245
409,-103,-243
424,-98,-240
430,-98,-226
430,-94,-224
427,-93,-227
431,-89,-229
424,-88,-226
417,-91,-235
410,-88,-242
396,-84,-270
383,-87,-283
368,-86,-302
323,-99,-309
282,-98,-318
256,-104,-316
227,-79,-295
198,-82,-300
171,-83,-283
137,-65,-259
135,-73,-251
111,-67,-253
103,-65,-215
92,-60,-214
76,-60,-184
74,-54,-152
72,-52,-136
65,-43,-115
65,-35,-75
73,-37,-33
83,-27,-5
87,-25,15
113,-9,33
126,-26,46
128,-34,58
131,-31,53
138,-46,64
142,-54,64
148,-64,54
148,-70,52
142,-84,40
139,-85,47
139,-81,41
138,-84,36
135,-93,39
117,-89,18
116,-82,8
99,-93,-9
90,-104,-22
88,-106,-44
98,-112,-56
97,-109,-85
91,-107,-111
107,-117,-131
116,-112,-156
113,-105,-173
115,-115,-183
114,-106,-180
114,-114,-182
102,-112,-166
91,-107,-164
90,-116,-150
85,-119,-147
90,-118,-106
93,-119,-95
84,-102,-70
78,-56,-66
77,-61,-43
77,-47,-45
76,-38,-42
79,-39,-22
81,-17,-35
82,-18,-32
74,-20,-42
74,2,-44
76,4,-50
69,1,-35
72,-8,-42
73,-3,-49
76,-14,-38
76,-33,-51
79,-33,-51
76,-38,-70
74,-44,-74
86,-56,-86
69,-57,-105
77,-53,-107
75,-51,-105
87,-53,-123
77,-49,-131
86,-41,-133
91,-63,-137
80,-62,-148
90,-64,-140
99,-63,-155
93,-69,-163
90,-78,-156
95,-73,-163
95,-67,-179
92,-76,-174
91,-87,-187
93,-73,-193
96,-84,-188
95,-91,-189
105,-99,-197
105,-113,-203
95,-113,-203
92,-124,-178
92,-134,-162
99,-147,-137
102,-138,-124
105,-133,-95
95,-125,-83
91,-135,-79
84,-100,-76
86,-87,-51
80,-86,-40
81,-51,-33
76,-36,-30
78,-40,-18
81,-33,-21
75,-13,-27
72,-14,-28
77,-19,-11
80,-6,-20
85,1,-19
78,8,-22
74,2,-16
79,11,-17
84,16,-22
76,8,-20
79,-1,-29
69,-5,-31
77,-19,-39
78,-10,-42
83,-22,-38
80,-26,-42
